"Qty","Value","Device","Package","Parts","Description","DIGI-KEY","MOUSER"
"1","LOGO_S","LOGO_S","LOGO_S","A1","","",""
"4","2.2uF","CAP_CERAMIC0402","0402","C1, C3, C11, C14","Ceramic Capacitor","",""
"8","100nF","CAP_CERAMIC0402","0402","C2, C4, C5, C6, C15, C16, C17, C18","Ceramic Capacitor","",""
"1","4.7uF","CAP_CERAMIC0402","0402","C7","Ceramic Capacitor","",""
"2","1uF","CAP_CERAMIC0402","0402","C8, C9","Ceramic Capacitor","",""
"2","10nF","CAP_CERAMIC0402","0402","C10, C12","Ceramic Capacitor","",""
"1","10uF","CAP_CERAMIC0603","0603","C13","Ceramic Capacitor","",""
"1","5.2Vbr","DIODE_ZENER_SOD523","SOD-523","D2","Zener Diode / Transient Voltage Suppression Diode","",""
"2","Red","LED_0603","CHIPLED_0603","LED1, LED4","LED","",""
"1","Blue","LED_0603","CHIPLED_0603","LED2","LED","",""
"1","Yellow","LED_0603","CHIPLED_0603","LED3","LED","",""
"1","Green","LED_0603","CHIPLED_0603","LED5","LED","",""
"2","1.65V@100mA","LED_0805","CHIPLED_0805","LED6, LED7","LED","",""
"1","FTDI","FTDI","1X06_LOCK","P1","USB TTL Serial Cable","",""
"1","JTAG_TH","JTAG_TH","FTSH-105-01-XXX-DV","P2","JTAG Connector","952-1383-ND","855-M50-3500542"
"1","USB_A_PLUG_SMD","USB_A_PLUG_SMD","USB-A_SMD","P3","USB-A Plug","1175-1021-ND",""
"1","DIP10_SH-7000B","DIP10_SH-7000B","SH-7000B","P4","10-Position Rotary Switch with Shaft","CT3096CT-ND",""
"2","MOSFET-N_SOT-323","MOSFET-N_SOT-323","SOT323","Q1, Q2","N-Channel MOSFET","568-10309-1-ND","771-BSS138PW115"
"4","820","RESISTOR0402","0402","R1, R3, R4, R5","Resistors","",""
"1","47","RESISTOR0402","0402","R2","Resistors","",""
"1","4.7K","RESISTOR2_0603X2","EXBV4V","R6","2x Isolated Resistor Network","",""
"1","100","RESISTOR2_0603X2","EXBV4V","R7","2x Isolated Resistor Network","",""
"2","18 (2W)","RESISTOR2512","2512","R8, R9","Resistors","",""
"4","FIDUCIAL1X2.5","FIDUCIAL1X2.5","POINT-1MM","REF1, REF2, REF3, REF4","Fiducial Alignment Points","",""
"1","STM32F40X_TQFP64","STM32F40X_TQFP64","TQFP64","U1","STM32F40x 64-pin LQFP","497-11767-ND","511-STM32F405RGT6"
"1","DWM1000","DWM1000","DWM1000","U4","DecaWave Ultra-Wideband Module","1479-1002-1-ND",""
"1","24AA02UID_SOT23-5","24AA02UID_SOT23-5","SOT23-5","U5","2K I2C Serial EEPROMs with Unique 32-bit Serial Number","24AA02UIDT-I/OTCT-ND ",""
"2","SP3012-03_UTG","SP3012-03_UTG","UDFN06","U6, U7","TVS Diode Arrays 3-Ch 12KV 0.5pF","F6292CT-ND","576-SP3012-03UTG"
"2","TPS73433","TPS73433","SOT23-5","U8, U9","3.3V, 250mA, Low Quiescent Current, Ultra-Low Noise, High PSRR Low-Dropout Linear Regulator.","296-36844-1-ND","595-TPS73433TDDCRQ1 "
"1","FOX924B-16.000","TCXO_5.0X3.2A","OSCILLATOR-5.0X3.2A","XTAL1","Temperature Compensated Crystal Oscillator","",""
